"author","display_name_alternatives","year"
Ilke Turkmendag,"[""I Turkmendag"", ""Ilke Turkmendag"", ""Ilke Ozdemir"", ""Ilke Turkmendag Brunsnes""]",2012
Peter Alldridge,"[""Peter W. Alldridge"", ""P Alldridge"", ""P. W. Alldridge"", ""Peter Alldridge""]",1998
Peter Alldridge,"[""Peter W. Alldridge"", ""P Alldridge"", ""P. W. Alldridge"", ""Peter Alldridge""]",1998
Ann Mumford,"[""A.H. Mumford"", ""A Mumford"", ""Ann Mumford""]",1998
Ann Mumford,"[""A.H. Mumford"", ""A Mumford"", ""Ann Mumford""]",1998
Sue Bandalli,"[""Sue Bandalli""]",1995
Julian Webb,"[""J Webb"", ""Jeb Webb"", ""Julian Webb"", ""Julian S. Webb"", ""J. K. Park and B. K. Webb"", ""J. Webb""]",1989
Avrom Sherr,"[""Avrom H. Sherr"", ""A Sherr"", ""Avrom Sherr"", ""A. Sherr""]",1989
Steve Greenfield,"[""STEVE GREENFIELD"", ""S Greenfield"", ""Steve Greenfield"", ""S. Greenfield""]",2001
Alun Howkins,"[""A. Howkins"", ""A. B. Howkins"", ""Howkins Alun"", ""A.B. Howkins"", ""Alun Howkins""]",1983
P. B. Munsche,"[""P.B. Munsche"", ""P. B. Munsche"", ""Peter B. Munsche""]",1983
Maureen Cain,"[""M. E. Cain"", ""Maureen E. Cain"", ""Maureen E Cain"", ""Maureen Cain"", ""MAUREEN CAIN"", ""Maureen Elizabeth Cain""]",1994
Christine Harrington,"[""Christine B. Harrington"", ""C. Harrington"", ""Christine Harrington""]",1994
Luke Clements,"[""L. J. Clements"", ""Luke J. Clements"", ""Luke Clements""]",2004
Janet Read,"[""Janet Read"", ""Janet M Read"", ""Janet M. Read"", ""J. M. Read"", ""J. Read"", ""JM Read"", ""Janet Michelson Read"", ""J.M. Read""]",2004
Janet Read,"[""Janet Read"", ""Janet M Read"", ""Janet M. Read"", ""J. M. Read"", ""J. Read"", ""JM Read"", ""Janet Michelson Read"", ""J.M. Read""]",2004
Maureen O'Sullivan,"[""Maureen O'Sullivan"", ""Maureen J O’Sullivan"", ""mAurEEn o’suLLiVAn"", ""Maureen J O'Sullivan"", ""Maureen J. O'Sullivan"", ""M O’Sullivan"", ""M J O'Sullivan"", ""Maureen O’Sullivan"", ""M J O’Sullivan"", ""M.J. O'Sullivan"", ""M. O’Sullivan"", ""Maureen J. O’Sullivan"", ""M. O'sullivan"", ""Maureen O'sullivan"", ""Maureen J. O'sullivan"", ""M O'Sullivan"", ""M J O'sullivan"", ""M. O'Sullivan"", ""Maureen ƠSullivan""]",2016
Edward Littlejohn,"[""Edward Littlejohn"", ""Edward J. Littlejohn""]",2018
Ino Augsberg,"[""Ino Augsberg"", ""Augsberg Ino""]",2018
Alfons Bora,"[""A. Bora"", ""Alfons Bora"", ""A Bora""]",2016
Nicola Lacey,"[""N Lacey"", ""N. Lacey"", ""Nicola. Lacey"", ""N.E. Lacey"", ""Lacey Nicola"", ""Nicola Lacey""]",2017
Richard Collier,"[""R. Collier"", ""R Collier"", ""Richard Stanley. Collier"", ""R.S. Collier"", ""R.S Collier"", ""Richard S. Collier"", ""Richard Collier"", ""RICHARD COLLIER"", ""R S Collier"", ""R. S. Collier"", ""Richard S Collier""]",2020
Richard Collier,"[""R. Collier"", ""R Collier"", ""Richard Stanley. Collier"", ""R.S. Collier"", ""R.S Collier"", ""Richard S. Collier"", ""Richard Collier"", ""RICHARD COLLIER"", ""R S Collier"", ""R. S. Collier"", ""Richard S Collier""]",2020
Par Hillyard,"[""P Hillyard"", ""Par Hillyard""]",1994
Kevin Hearty,"[""Kevin Hearty"", ""KEVIN HEARTY""]",2022
Roozbeh B. Baker,"[""Roozbeh B Baker"", ""Roozbeh B. Baker""]",2008
Iain Frame,"[""Iain Frame""]",2015
Adam Gearey,"[""ADAM GEAREY"", ""A Gearey"", ""Adam Gearey""]",2016
Amanda J. Perry,"[""Amanda J. Perry""]",2002
Carl F. Stychin,"[""Carl Stychin"", ""Carl F. Stychin"", ""Carl F Stychin"", ""C. Stychin""]",2000
Neil Duxbury,"[""Neil Duxbury"", ""N. Duxbury"", ""Neil T. Duxbury"", ""N Duxbury""]",1991
Suzanne Zeedyk,"[""Suzanne M. Zeedyk"", ""Suzanne Zeedyk""]",1997
Fiona E. Raitt,"[""Fiona Raitt"", ""Fiona E Raitt"", ""Fiona E. Raitt""]",1997
Leslie J. Moran,"[""Leslie J. Moran"", ""L. J. Moran"", ""LESLIE J. MORAN"", ""Leslie Moran"", ""L Moran"", ""Leslie J Moran"", ""Leslie James Moran""]",2015
Geoffrey Pearson,"[""G Pearson"", ""Geoff Pearson"", ""G. Pearson"", ""G R Pearson"", ""Geoffrey Pearson"", ""G.R. Pearson"", ""G. F. Pearson""]",2018
Mike Rowe,"[""M rowe"", ""M. Rowe"", ""M Rowe"", ""Mike. Rowe"", ""M. M. Rowe"", ""M. Michelle Rowe"", ""Mike Rowe""]",2018
Elizabeth Turner,"[""Elizabeth R. Turner"", ""E. Turner"", ""E Turner"", ""Elizabeth Turner""]",2018
Belinda Bennett,"[""B. Bennett"", ""Belinda Renee Bennett"", ""B Bennett"", ""Belinda Bennett""]",1991
Geoffrey Bindman,"[""Geoffrey Bindman""]",2002
Steven Greer,"[""Stallergenes Greer"", ""S. Greer"", ""Steven Greer"", ""S Greer"", ""S GREER"", ""Steven C Greer""]",1994
Margaret Thornton,"[""M. J. Thornton"", ""Margaret Julie Thornton"", ""M Thornton"", ""Margaret. Thornton"", ""Margaret Rose. Thornton"", ""Margaret Thornton""]",1997
Alan Booth,"[""Amy Booth"", ""A. J. Booth"", ""Alan James Booth"", ""Amy Rose Booth"", ""A Booth"", ""ALAN BOOTH"", ""Alan Booth"", ""Amy R Booth"", ""Alan Edward Booth"", ""Amy R. Booth"", ""A. Booth"", ""Alan E. Booth"", ""A.R. Booth""]",1985
Roger W. Smith,"[""R W Smith"", ""roger Smith"", ""R Smith"", ""R. W. Smith"", ""Roger W Smith"", ""Roger Smith"", ""Roger W. Smith"", ""R. Smith"", ""R. W Smith"", ""R.W.Smith"", ""R.W Smith"", ""R.W. Smith""]",1985
ALESSANDRA MINISSALE,"[""ALESSANDRA MINISSALE""]",2022
Stina Bergman Blix,"[""STINA BERGMAN BLIX"", ""Stina Blix"", ""Stina Bergman Blix""]",2022
Michael J. Willson,"[""Michael J. Willson"", ""Michael Willson"", ""M. J. Willson"", ""Michael Jay Willson""]",1993
John W. Raine,"[""J. Raine"", ""John W Raine"", ""J. W. Raine"", ""J Raine"", ""John Watson Raine"", ""J.W. Raine"", ""J W Raine"", ""John W. Raine"", ""John Raine""]",1993
Pierre Guibentif,"[""P Guibentif"", ""Pierre Guibentif"", ""P. Guibentif"", ""Pierre Henri Guibentif""]",2007
Paul Almond,"[""Paul James Almond"", ""Paul Almond""]",2008
Mara Malagodi,"[""M. Malagodi"", ""Mara Malagodi""]",2015
Robert M. Vanderbeck,"[""Robert Vanderbeck"", ""Robert M Vanderbeck"", ""Robert M. Vanderbeck""]",2017
Paul J. Johnson,"[""P.J. Johnson"", ""P. J. Johnson"", ""Paul J. T. Johnson"", ""P J Johnson"", ""PAUL JOHNSON"", ""P Johnson"", ""Paul James Johnson"", ""P.J Johnson"", ""Paul J.T. Johnson"", ""Paul J. Johnson"", ""Paul J Johnson"", ""P. Johnson"", ""Paul Johnson""]",2017
Wade Mansell,"[""Wade Mansell"", ""W Mansell""]",2004
Mary Therese O'Sullivan,"[""Mary Therese O'Sullivan""]",2012
Deborah Cheney,"[""D.W. Cheney"", ""Deborah Cheney""]",1993
Tony Prosser,"[""Tony Prosser"", ""T. Prosser"", ""Tony A W Prosser""]",2020
Nekima Levy-Pounds,"[""Nekima Levy-Pounds"", ""Nekima Levy-pounds""]",2013
Lynn Mather,"[""Lynn Mather"", ""Lynn M. Mather""]",2021
Marisela Martinez-Cola,"[""Marisela Martinez-Cola"", ""M. Martinez-Cola"", ""M Martinez-Cola"", ""Marisela Cola"", ""Marisela Martinez ""]",2017
Jessica C. Lai,"[""J.M. Lai"", ""J Lai"", ""Jessica Lai"", ""J.C. Lai"", ""Jessica C Lai"", ""Jenny Z. Lai"", ""J. Lai"", ""Jessica Christine Lai"", ""Jiaming Lai"", ""J. M. Lai"", ""Jenny Z Lai"", ""Jessica C. Lai"", ""Jenny Lai""]",2020
Yvonne Marie Daly,"[""Yvonne M Daly"", ""Yvonne M. Daly"", ""Yvonne Daly"", ""Y. Daly"", ""Yvonne Marie Daly""]",2021
Vicky Conway,"[""V. Conway"", ""V Conway"", ""Vicky Conway""]",2021
Katie Morris,"[""Katie Morris"", ""KATIE MORRIS""]",2022
James D. Dickson,"[""James D. Dickson"", ""J. D. Dickson"", ""James David Dickson"", ""James Dickson"", ""James D Dickson""]",2013
Matt R. Cross,"[""Matt R Cross"", ""M Cross"", ""M. R. Cross"", ""M. Cross"", ""Matt R. Cross"", ""Matthew Cross"", ""Matthew R. Cross"", ""Matt Cross"", ""Matthew Rex Cross"", ""Matthew R Cross""]",2013
Sharyn Roach Anleu,"[""Sharyn Roach Anleu"", ""Sharyn Anleu"", ""Sharyn Leanne Roach Anleu"", ""Roach Anleu"", ""SHARYN ROACH ANLEU"", ""Sharyn L Roach Anleu"", ""Sharyn L. Roach Anleu""]",2005
Kathy Mack,"[""Kathleen Mack"", ""Kathleen M Mack"", ""Kathy Mack"", ""Kathleen Margaret Mack"", ""K. H. Mack"", ""K. Mack""]",2005
Roger Cotterrell,"[""Roger Cotterrell"", ""Roger B. M. Cotterrell"", ""Roger B.M. Cotterrell"", ""R Cotterrell"", ""ROGER COTTERRELL""]",1983
William Twining,"[""W. L. Twining"", ""William L. Twining"", ""W. Twining"", ""William Lawrence Twining"", ""W Twining"", ""William Twining""]",2005
Roderick A. Macdonald,"[""R. A. MacDonald"", ""R A Macdonald"", ""Roderick Alexander Macdonald"", ""Roderick A. MacDonald"", ""Roderick A. Macdonald"", ""Roderick MacDonald"", ""Roderick Alexander MacDonald"", ""Roderick A MacDonald"", ""R Macdonald"", ""R. MacDonald"", ""Roderick A Macdonald"", ""Roderick Macdonald""]",2009
N. Hirst,"[""N. Hirst"", ""N Hirst"", ""NATASHA HIRST"", ""Natasha Clare Hirst""]",2022
Deborah Foster,"[""DEBORAH FOSTER"", ""Deborah Jane Foster"", ""Deborah Foster"", ""D. Foster""]",2022
Tania Sourdin,"[""Sourdin Tania"", ""Tania. Sourdin"", ""Tania Michelle Sourdin"", ""Tania M. Sourdin"", ""Tania Sourdin"", ""TANIA SOURDIN"", ""T. Sourdin"", ""Tania Michelle. Sourdin""]",2022
Eric Scorsone,"[""E. Scorsone"", ""Eric A. Scorsone"", ""Eric Scorsone"", ""Eric Anthony Scorsone""]",2013
Chai R. Feldblum,"[""Chai R. Feldblum"", ""Chai R Feldblum"", ""Chai Feldblum""]",2013
Hanna Buer Haddeland,"[""Hanna Buer Haddeland""]",2021
Susan Bright,"[""S.J. Bright"", ""S. J. Bright"", ""S. Bright"", ""Susan Bright"", ""S Bright""]",2021
Tracy Peters,"[""Tracy Peters"", ""Tracy W. Peters""]",2012
EITHNE DOWDS,"[""EITHNE DOWDS""]",2022
Colin May,"[""C.G. May"", ""C. May"", ""Colin May""]",1986
Michael King,"[""M. Sharp King"", ""M.S. King"", ""M. S. King"", ""Michael S King"", ""M. W. King"", ""M. King"", ""M.B. King"", ""Matthew King"", ""Matthew S King"", ""Michael King"", ""M King"", ""Matthew S. King"", ""Michael S. King""]",1986
Rose Pearson,"[""Rose Pearson"", ""R. Matthew Pearson"", ""R Pearson""]",1986
Alan Hunt,"[""Alan HUnt"", ""Alan Hunt"", ""A. Hunt"", ""Alan J. Hunt"", ""ALAN HUNT"", ""Alan James Hunt"", ""A.J. Hunt"", ""A J Hunt"", ""A. J. Hunt"", ""Alan J Hunt"", ""A Hunt""]",1986
Bernard S. Jackson,"[""B. S. Jackson"", ""BERNARD S. JACKSON"", ""Bernard S . Jackson"", ""B. Jackson"", ""B. S Jackson"", ""B Jackson"", ""B.S. Jackson"", ""Bernard Jackson"", ""Bernard S Jackson"", ""Bernard S. Jackson""]",1986
Richard Mullender,"[""Richard Mullender"", ""Richard Nigel Mullender"", ""R Mullender""]",2016
Richard Mullender,"[""Richard Mullender"", ""Richard Nigel Mullender"", ""R Mullender""]",2016
Belinda Bennett,"[""B. Bennett"", ""Belinda Renee Bennett"", ""B Bennett"", ""Belinda Bennett""]",2008
Nicholas Parry,"[""Nicholas Parry"", ""N. D. M. Parry""]",1999
Patrick Birkinshaw,"[""P. Birkinshaw"", ""Patrick Birkinshaw"", ""Patrick. Birkinshaw"", ""Patrick J Birkinshaw"", ""Patrick J. Birkinshaw"", ""P. J. Birkinshaw""]",1999
Belinda Bennett,"[""B. Bennett"", ""Belinda Renee Bennett"", ""B Bennett"", ""Belinda Bennett""]",2008
Richard Mullender,"[""Richard Mullender"", ""Richard Nigel Mullender"", ""R Mullender""]",2013
Richard Mullender,"[""Richard Mullender"", ""Richard Nigel Mullender"", ""R Mullender""]",2013
Nicole Busby,"[""Nicole Ellen Busby"", ""Busby Nicole"", ""Nicole Busby""]",2013
Ann Mumford,"[""A.H. Mumford"", ""A Mumford"", ""Ann Mumford""]",2010
Daniel Wincott,"[""Daniel Wincott"", ""Daniel Edward Wincott"", ""Daniel. Wincott""]",2009
Jill Marshall,"[""Jill A. Marshall"", ""J A Marshall"", ""Jill A Marshall"", ""J Marshall"", ""J. A. Marshall"", ""J.A. Marshall"", ""J. Marshall"", ""Jill Marshall"", ""J. Andrew Marshall""]",2008
Piers Beirne,"[""P Beirne"", ""Piers Beirne"", ""P. Beirne""]",1997
Richard Collier,"[""R. Collier"", ""R Collier"", ""Richard Stanley. Collier"", ""R.S. Collier"", ""R.S Collier"", ""Richard S. Collier"", ""Richard Collier"", ""RICHARD COLLIER"", ""R S Collier"", ""R. S. Collier"", ""Richard S Collier""]",2015
Richard Collier,"[""R. Collier"", ""R Collier"", ""Richard Stanley. Collier"", ""R.S. Collier"", ""R.S Collier"", ""Richard S. Collier"", ""Richard Collier"", ""RICHARD COLLIER"", ""R S Collier"", ""R. S. Collier"", ""Richard S Collier""]",2015
Richard Collier,"[""R. Collier"", ""R Collier"", ""Richard Stanley. Collier"", ""R.S. Collier"", ""R.S Collier"", ""Richard S. Collier"", ""Richard Collier"", ""RICHARD COLLIER"", ""R S Collier"", ""R. S. Collier"", ""Richard S Collier""]",2015
Emilios Avgouleas,"[""Emilios Avgouleas"", ""E Avgouleas"", ""Emilios E. Avgouleas"", ""E. Avgouleas""]",2014
Emilios Avgouleas,"[""Emilios Avgouleas"", ""E Avgouleas"", ""Emilios E. Avgouleas"", ""E. Avgouleas""]",2014
Jay Cullen,"[""Jay Cullen"", ""J.P. Cullen"", ""J. Cullen""]",2014
Richard Nobles,"[""RICHARD NOBLES"", ""Richard Nobles"", ""R Nobles"", ""R. Nobles"", ""Richard H. Nobles""]",2004
David Schiff,"[""D. Schiff"", ""David N. Schiff"", ""David Schiff"", ""David. Schiff"", ""D Schiff"", ""D.N. Schiff""]",2004
Sally Wheeler,"[""S Wheeler"", ""Sally Padgett. Wheeler"", ""Sally Wheeler"", ""Sally Padgett Wheeler""]",2011
Mark McCann,"[""M.E.E. McCann ."", ""M. Mccann"", ""M. G. McCann"", ""M McCann"", ""M.E.E. McCann"", ""Mark McCann"", ""M. McCann"", ""Mark E. McCann"", ""M E E McCann"", ""M. E. E. McCann""]",2011
Simon Halliday,"[""S Halliday"", ""Simon Halliday"", ""S. Halliday""]",2000
Shuangge Wen,"[""S Wen"", ""Shuangge Wen""]",2016
Shuangge Wen,"[""S Wen"", ""Shuangge Wen""]",2016
Sol Picciotto,"[""S Picciotto"", ""Sol Picciotto"", ""S. Picciotto"", ""Salomone Picciotto""]",1999
Jason Haines,"[""Jason Haines"", ""J. Robert Haines""]",1999
Caer Smyth,"[""Caer Smyth"", ""C. Smyth""]",2021
Marina Nehme,"[""Marina Nehme"", ""MARINA NEHME"", ""M. Nehme"", ""M Nehme""]",2022
Ole W. Pedersen,"[""Ole Windahl Pedersen"", ""Ole Pedersen"", ""O.W. Pedersen"", ""Ole W. Pedersen"", ""OW Pedersen"", ""Ole W Pedersen"", ""OLE W. PEDERSEN"", ""O Pedersen""]",2022
Ihsan Alkhatib,"[""Ihsan Alkhatib"", ""Ihsan Ali Alkhatib""]",2013
Nina Boeger,"[""Nina Boeger"", ""N Boeger""]",2018
Vladimir Bogoeski,"[""VLADIMIR BOGOESKI"", ""Vladimir Bogoeski""]",2022
Jacqueline Horan,"[""Jacqueline M Horan"", ""J.M. Horan"", ""Jacqueline Horan"", ""Jacqueline M. Horan"", ""Jacqueline Mary Horan"", ""J Horan""]",2014
Shelley Maine,"[""Shelley Maine""]",2014
Alison JDiduck,"[""Alison JDiduck""]",2001
Elaine Lee Wade,"[""Elaine L. Wade"", ""Elaine Wade"", ""Elaine Lee Wade""]",1985
Richard Joyce,"[""Richard John Joyce"", ""R. Joyce"", ""R.J.V. Joyce"", ""R. J. V. Joyce"", ""RICHARD JOYCE"", ""Richard Joyce"", ""R Joyce""]",2007
Peter Fitzpatrick,"[""P. Fitzpatrick"", ""Peter Fitzpatrick"", ""P Fitzpatrick"", ""Peter H Fitzpatrick"", ""Peter Henry Fitzpatrick""]",2007
Richard Moorhead,"[""Richard Lewis Moorhead"", ""Richard Moorhead"", ""R Moorhead""]",1998
Prabha Kotiswaran,"[""Prabha Kotiswaran""]",2010
Jennifer Temkin,"[""Jennifer Temkin"", ""J Temkin""]",2000
Val Gillies,"[""Val Gillies"", ""V Gillies"", ""V. Gillies""]",2008
Val Gillies,"[""Val Gillies"", ""V Gillies"", ""V. Gillies""]",2008
Chrisje Brants,"[""Chrisje Brants"", ""C.H. Brants"", ""C. H. Brants"", ""Chrisje H. Brants"", ""C. Brants""]",1998
Barbara A. Sullivan,"[""B Sullivan"", ""B.A. Sullivan"", ""Barbara Ann Sullivan"", ""Barbara Sullivan"", ""B. Sullivan"", ""B. A. Sullivan"", ""Barbara A Sullivan"", ""Barbara A. Sullivan"", ""B A Sullivan""]",2010
Gillian Douglas,"[""G Douglas"", ""G H Douglas"", ""F. Douglas"", ""Gilian Douglas"", ""Gillian Douglas""]",1991
S. Parker,"[""Sally Anderson Parker"", ""S. Parker""]",1991
L. Stone,"[""L. Stone"", ""Lindsay C. Stone""]",1991
Sharon Cowan,"[""S. T. Cowan"", ""Sharon Cowan"", ""S Cowan""]",2013
Sharon Cowan,"[""S. T. Cowan"", ""Sharon Cowan"", ""S Cowan""]",2013
Helen Baillot,"[""Helen Baillot""]",2013
Vanessa E. Munro,"[""V.E. Munro"", ""Vanessa Munro"", ""Vanessa E. Munro"", ""Vanessa E Munro""]",2013
Andrew Bainham,"[""Andrew Bainham"", ""A. Bainham""]",1995
Steven Vaughan,"[""Steven Vaughan"", ""S. S. Vaughan"", ""Vaughan Stephen"", ""S Vaughan"", ""STEVEN VAUGHAN"", ""Stephen Vaughan"", ""S. Vaughan"", ""Stephen D. Vaughan"", ""Stephen D Vaughan""]",2011
Brenna Bhandar,"[""BRENNA BHANDAR"", ""Brenna Bhandar""]",2015
Brenna Bhandar,"[""BRENNA BHANDAR"", ""Brenna Bhandar""]",2015
Brenna Bhandar,"[""BRENNA BHANDAR"", ""Brenna Bhandar""]",2015
David Butler,"[""David E. Butler"", ""David J. Butler"", ""D.J.G. Butler"", ""D. E. Butler"", ""D.J. Butler"", ""David John Butler"", ""David. Butler"", ""D Butler"", ""D E Butler"", ""David J Butler"", ""David Butler"", ""D. Butler""]",1995
Andrew Adonis,"[""Andrew Adonis""]",1995
Tony Travers,"[""T.H.E. Travers"", ""Tony Travers"", ""T. Travers"", ""T Travers""]",1995
Fiona Donson,"[""Fiona J. L. Donson"", ""Fiona Donson""]",1995
Ian Loader,"[""Ian Loader"", ""IAN LOADER"", ""I. Loader"", ""I Loader""]",1997
Andrew Boon,"[""A. Boon"", ""Andrew Boon"", ""Andy Boon"", ""A. R. Boon"", ""A. den Boon""]",1998
Marko Simoneti,"[""Marko Simoneti"", ""M. Simoneti""]",2010
Nina Cankar,"[""Nina Cankar"", ""Nina K. Cankar"", ""N. Cankar""]",2010
Simon Deakin,"[""Simon Francis Deakin"", ""Simon Deakin"", ""S. Deakin"", ""Simon F. Deakin"", ""S.Deakin"", ""S Deakin"", ""S. F. Deakin"", ""Deakin Simon"", ""Simon DEAKIN""]",2010
Paddy Hillyard,"[""P. A. R. Hillyard"", ""P.A. Hillyard"", ""P Hillyard"", ""P. Hillyard"", ""P.A.R. Hillyard"", ""Paddy Hillyard""]",2002
Paddy Hillyard,"[""P. A. R. Hillyard"", ""P.A. Hillyard"", ""P Hillyard"", ""P. Hillyard"", ""P.A.R. Hillyard"", ""Paddy Hillyard""]",2002
Wim Huisman,"[""W. Huisman"", ""Wim Huisman"", ""W.H Huisman"", ""W.H. Huisman"", ""W Huisman"", ""W. H. Huisman""]",2014
Hans Nelen,"[""H. Nelen"", ""Hans Nelen""]",2014
J.A. McCahery,"[""Joseph McCahery"", ""JOSEPH A. McCAHERY"", ""J. Mccahery"", ""Joseph A. Mccahery"", ""J.A. McCahery"", ""Joseph A McCahery"", ""J. A. McCahery"", ""Joseph A. McCAHERY"", ""Joseph A. McCahery"", ""J. McCahery""]",2014
E.P.M. Vermeulen,"[""E.P.M. Vermeulen"", ""Erik Paulus Marinus Vermeulen"", ""Erik P. M. Vermeulen"", ""Erik P M Vermeulen"", ""ERIK P. M. VERMEULEN"", ""Erik.P.M. Vermeulen"", ""Erik P.M. Vermeulen"", ""E. Vermeulen"", ""Erik Vermeulen""]",2014
Colin Scott,"[""C.D. Scott"", ""C. D. Scott"", ""Colin Scott"", ""C Scott"", ""Colin David Scott""]",2002
Jeremy Jennings,"[""JEREMY JENNINGS"", ""Jeremy Jennings"", ""J. R. Jennings"", ""J.R. Jennings""]",2009
Joshua Lushnat,"[""Joshua Lushnat""]",2012
Jack Meakin,"[""Jack Meakin""]",2021
Carson Cole Arthur,"[""Carson Cole Arthur""]",2021
John D. Bessler,"[""John Bessler"", ""John D. Bessler""]",2020
Allan C. Hutchinson,"[""A.E. Hutchinson"", ""Allan C. Hutchinson"", ""A Hutchinson"", ""A. T. Hutchinson"", ""A. C. Hutchinson"", ""A. J. Hutchinson"", ""Andrew T. Hutchinson"", ""Andrew Hutchinson"", ""Allan Hutchinson"", ""Andrew T Hutchinson"", ""Andrew Tasman Hutchinson"", ""Allan C Hutchinson"", ""Andy Hutchinson"", ""A T Hutchinson"", ""A. Hutchinson""]",2020
Richard Abel,"[""Richard Abel"", ""Richard L. Abel"", ""Richard Leslie Abel"", ""R L Abel"", ""richard abel"", ""R. L. Abel"", ""R Abel"", ""R. Abel"", ""R.L. Abel"", ""Richard L Abel""]",2020
David Cowan,"[""DS Cowan"", ""Dave Cowan"", ""D. L. Cowan"", ""David S Cowan"", ""D. Cowan"", ""David S. Cowan"", ""D. W. Cowan"", ""D. S. C. Cowan"", ""David Cowan"", ""D. S. Cowan"", ""David Cowan""]",2020
Linda Mulcahy,"[""L. Mulcahy"", ""L.J. Mulcahy"", ""Linda J Mulcahy"", ""Linda Mulcahy"", ""LINDA MULCAHY"", ""L Mulcahy""]",2020
Sally Wheeler,"[""S Wheeler"", ""Sally Padgett. Wheeler"", ""Sally Wheeler"", ""Sally Padgett Wheeler""]",2020
Linda Mulcahy,"[""L. Mulcahy"", ""L.J. Mulcahy"", ""Linda J Mulcahy"", ""Linda Mulcahy"", ""LINDA MULCAHY"", ""L Mulcahy""]",2021
Linda Mulcahy,"[""L. Mulcahy"", ""L.J. Mulcahy"", ""Linda J Mulcahy"", ""Linda Mulcahy"", ""LINDA MULCAHY"", ""L Mulcahy""]",2021
Rachel Cahill-O'Callaghan,"[""RACHEL CAHILL‐O'CALLAGHAN"", ""Rachel J. Cahill-O'Callaghan"", ""Rachel J. Cahill‐O'Callaghan"", ""Rachel Cahill-O’callaghan"", ""Rachel J Cahill-O’Callaghan"", ""Rachel Cahill-O'callaghan"", ""Rachel Cahill-O'Callaghan"", ""Rachel J Cahill-O'Callaghan"", ""Rachel Cahill-O’Callaghan""]",2021
Sylvie Armstrong,"[""SYLVIE ARMSTRONG"", ""Sylvie Armstrong"", ""S.E. Armstrong""]",2022
Wayne Moore,"[""W.K.S. Moore"", ""Wayne Moore"", ""W. K. Moore""]",2014
Andrea Ross,"[""Andrea P. Ross"", ""A. Ross"", ""Andrea T. Ross"", ""A Ross"", ""Andrea Ross""]",2016
Rhys Jones,"[""R. A. Jones"", ""R.N. Jones"", ""Rhys Jones"", ""Rowan H. Jones"", ""R N Jones"", ""R.H. Jones"", ""R Jones"", ""Raymond Jones"", ""R. Neil Jones"", ""Rhys Alwyn Jones"", ""R. Jones"", ""R. N. Jones"", ""Rory Jones"", ""R Neil Jones"", ""R.A. Jones"", ""R N JONES"", ""Rowan Jones""]",2016
Devyani Prabhat,"[""Devyani Prabhat""]",2018
David McLellan,"[""David McLellan"", ""David Mclellan"", ""David Ross McLellan""]",1996
Jonathan Mukwiri,"[""Jonathan Mukwiri""]",2014
Mathias M. Siems,"[""M. Siems"", ""Mathias M Siems"", ""Mathias Siems"", ""M. M. Siems"", ""Mathias M. Siems"", ""M Siems"", ""Mathias M. Siems""]",2014
Roger Burridge,"[""Roger Burridge"", ""R. Burridge"", ""R Burridge""]",2007
David Ormandy,"[""D Ormandy"", ""D. Ormandy"", ""Ormandy David"", ""David Ormandy""]",2007
Martin J. Sweet,"[""Martin J. Sweet""]",2006
Paul J. Johnson,"[""P.J. Johnson"", ""P. J. Johnson"", ""Paul J. T. Johnson"", ""P J Johnson"", ""PAUL JOHNSON"", ""P Johnson"", ""Paul James Johnson"", ""P.J Johnson"", ""Paul J.T. Johnson"", ""Paul J. Johnson"", ""Paul J Johnson"", ""P. Johnson"", ""Paul Johnson""]",2013
Raymond G. Smith,"[""Raymond George Smith"", ""R.G. Smith"", ""R. G. Smith"", ""Raymond Smith"", ""Raymond G. Smith""]",1995
Margaret Stacey,"[""Margaret Stacey"", ""MARGARET STACEY"", ""M.H Stacey"", ""M. A. Stacey"", ""MEG STACEY"", ""M.A. Stacey"", ""M Stacey"", ""Meg Stacey"", ""M. Stacey"", ""Margaret A. Stacey"", ""Margaret A Stacey"", ""M.H. Stacey""]",1995
Richard Ashby Wilson,"[""R Wilson"", ""R A Wilson"", ""Richard A. Wilson"", ""Richard Wilson"", ""Rachel Lyndsey Wilson"", ""R. A. M. Wilson"", ""Richard Leland Wilson"", ""Rachel L. Wilson"", ""R. Wilson"", ""Richard L. Wilson"", ""Richard A Wilson"", ""R.A. Wilson"", ""R. A. Wilson"", ""Richard Ashby Wilson"", ""R. L. Wilson"", ""RICHARD A. WILSON"", ""RICHARD WILSON"", ""Rachel L Wilson"", ""Richard Arave Wilson"", ""Rachel Wilson"", ""Richard A. Wilson""]",2013
Richard Ashby Wilson,"[""R Wilson"", ""R A Wilson"", ""Richard A. Wilson"", ""Richard Wilson"", ""Rachel Lyndsey Wilson"", ""R. A. M. Wilson"", ""Richard Leland Wilson"", ""Rachel L. Wilson"", ""R. Wilson"", ""Richard L. Wilson"", ""Richard A Wilson"", ""R.A. Wilson"", ""R. A. Wilson"", ""Richard Ashby Wilson"", ""R. L. Wilson"", ""RICHARD A. WILSON"", ""RICHARD WILSON"", ""Rachel L Wilson"", ""Richard Arave Wilson"", ""Rachel Wilson"", ""Richard A. Wilson""]",2013
Philip A. Thomas,"[""P. A. Thomas"", ""P.A. Thomas"", ""P Thomas"", ""Philip Aneurin Thomas"", ""Philip A. Thomas"", ""Philip Thomas"", ""P. Thomas""]",1985
