"author","display_name_alternatives","year"
Sarah Craig,"[""Sarah Craig"", ""S Craig"", ""S. Craig"", ""Sarah K L Craig"", ""Sarah Kathryn Lloyd Craig""]",2005
Tom Mullen,"[""Tom Mullen"", ""T. J. Mullen"", ""T Mullen"", ""T. Mullen""]",2005
Christos Boukalas,"[""Christos Boukalas""]",2021
J. A. Sharpe,"[""J. A. Sharpe""]",1984
M. F. Roberts,"[""M. F. Roberts""]",1984
Caitlin Watt,"[""Caitlin Watt"", ""Caitlin G. Watt""]",2009
John Powell,"[""John Antony Powell"", ""Jon Powell"", ""john a. powell"", ""J. A. Powell"", ""john a powell"", ""John A Powell"", ""John A. Powell"", ""John Powell"", ""J Powell"", ""J. A. J. Powell"", ""J. Powell"", ""J A Powell""]",2009
Alan A. Block,"[""A Block"", ""Alan A Block"", ""A. A. Block"", ""Alan a. Block"", ""Alan A. Block"", ""Alan Block""]",1996
Andrew Sanders,"[""A J Sanders"", ""A.J. Sanders"", ""A. J. Sanders"", ""Andrew J Sanders"", ""ANDREW J SANDERS"", ""Andrew James Sanders"", ""A.J.G.M. Sanders"", ""Andrew Sanders"", ""A.J.G M. Sanders"", ""A Sanders"", ""A. J. G. M. Sanders"", ""A. Sanders"", ""Andrew J. Sanders"", ""A.J.G.M. N.D.C. Sanders""]",2002
Kate Fitz-Gibbon,"[""Kate Fitzgibbon"", ""Kate Esther Fitz-Gibbon"", ""Kate Fitz-Gibbon"", ""Kate Fitz‐Gibbon"", ""K. Fitzgibbon""]",2013
Jacqueline Hodgson,"[""J. Hodgson"", ""Jacqueline S. Hodgson"", ""Jacqueline Hodgson""]",1994
Amanda Perry-Kessaris,"[""Amanda Perry‐Kessaris"", ""Amanda Perry-Kessaris""]",2013
Roger Brownsword,"[""Roger Brownsword"", ""Brownsword Roger"", ""R. Brownsword"", ""R Brownsword""]",2012
Julian Bond,"[""J. Max Bond"", ""Julian Bond"", ""J Bond"", ""J. Bond""]",2010
Michele Cotton,"[""Michele Cotton""]",2014
Catherine Kramarczuk Voulgarides,"[""Catherine Voulgarides"", ""CATHERINE K. VOULGARIDES"", ""Catherine Kramarczuk Voulgarides"", ""Catherine K. Voulgarides""]",2014
Pedro A. Noguera,"[""Pedro Antonio Noguera"", ""P. A. Noguera"", ""Pedro A Noguera"", ""Pedro A. Noguera"", ""P. Noguera"", ""Pedro Noguera""]",2014
Alexandra Aylward,"[""Alexandra Aylward"", ""Alexandra G. Aylward""]",2014
Helen Reece,"[""Helen Reece""]",1996
Tamara Goriely,"[""T Goriely"", ""Tamara Goriely""]",1994
Jonathan Shaw,"[""Jonathan M. Shaw"", ""J M Shaw"", ""Josephine Shaw"", ""Jonathan Shaw"", ""Julia W. Shaw"", ""J. Margaret Shaw"", ""Jon Shaw"", ""J. Shaw"", ""J Shaw"", ""Julia Shaw"", ""Julia J. A. Shaw"", ""Julia Ja Shaw"", ""J L Shaw"", ""Julia J. Shaw"", ""J. L. Shaw"", ""Julia J.A. Shaw"", ""J. M. Shaw"", ""Julia J A Shaw"", ""J. W. Shaw""]",1994
Michael Salter,"[""M. Salter"", ""Michael G Salter"", ""M. G. Salter"", ""M Salter"", ""Michael Alan Salter"", ""Michael G. Salter"", ""M G Salter"", ""Michael Salter""]",1994
Robert Lee,"[""Lorenne Robert"", ""Lester Robert"", ""Lee. Robert"", ""Robert Lester"", ""L. St. Claire Robert"", ""Robert Lee"", ""Robert Lorenne""]",1986
John Stewart,"[""J. Stewart"", ""J Robert Stewart"", ""J R Stewart"", ""J Stewart"", ""J.R. Stewart"", ""John Stewart"", ""J. Robert Stewart"", ""J.Robert Stewart"", ""J. R. Stewart"", ""John R. Stewart"", ""John Robert Stewart""]",1986
Gill Stewart,"[""Gill Stewart"", ""Stewart Gill""]",1986
Fae Garland,"[""Fae Garland"", ""Fae Sinead Garland"", ""F. Garland""]",2020
Mitchell Travis,"[""Mitchell Travis"", ""Travis Mitchell"", ""Travis Klaus Mitchell"", ""T. Mitchell""]",2020
