year,author
2009,Neil MacCormick; Neil MacCormick
1988,Neville Harris
2010,Neville Harris
1998,Ngaire Naffine
1997,Nicholas Bamforth
2016,Nick O'Brien
1992,Nick Wikeley
1997,Nick Wikeley
1989,Nick Wikeley
1991,Nick Wikeley; Richard Young
1993,Nicola Lacey
2016,Nicola Lacey
1987,Nicola Lacey
1986,Nicola Lacey
1995,Nicola Lacey; Lucia Zedner
2006,Nicole Busby
2013,NICOLE BUSBY
2010,Nicole Busby; Calum Macleod
2001,Nicole Rafter
1983,Nigel Fielding; Jane Fielding
1993,Nigel Haworth
2008,Nigel Parton
1989,Nigel Parton
1985,Nigel Simmonds
1988,Niklas Luhmann
1985,Nikolas Rose
1987,Nikolas Rose
1996,Nikos Passas
1986,Nils Christie
2009,Nimer Sultany
2010,Nina K. Cankar; Simon Deakin; Marko Simoneti
2014,Noa Vaisman
1993,Noam Chomsky
2006,Noreen Burrows; Muriel Robison
1985,Norman Lewis
1984,Norman Lewis; Paul Wiles
1992,Ole Hansen
2013,OLE W. PEDERSEN
2006,Oliver Quick
2011,Oliver Quick
2008,Opi Outhwaite; Robert Black; Angela Laycock
2002,Oren Perez
1982,P. McDonald
1983,P. W. J. Bartrip; P. T. Fenn
2004,Pablo S. Ghetti
2007,Paddy Hillyard
1994,Paddy Hillyard
2002,Paddy Hillyard
1999,Paddy Hillyard; David Gordon
1984,Paddy Hillyard; Janie Percy-Smith
2000,Paddy Hillyard; Mike Tomlinson
1997,Paddy Ireland
1995,Paddy Ireland
1996,Paddy Ireland
1987,Paddy Ireland; Ian Grigg-Spall; Dave Kelly
2015,Paloma E. Villegas
2012,Pamela Cox
1987,Pamela Symes
1993,Panu Minkkinen
2008,Pascoe Pleasence
2003,Pascoe Pleasence; Hazel Genn; Nigel J. Balmer; Alexy Buck; Aoife O'Grady
1992,Pat Carlen
1984,Pat O'Malley
1997,Patricia Gray
1998,Patricia Leighton
2008,Patricia Lundy; Mark McGovern
1989,Patrick Birkinshaw
1996,Patrick Birkinshaw
1999,Patrick Birkinshaw; Nicholas Parry
2004,Patrick Hanafin
2004,Patrick Hanafin; Adam Gearey; Joseph Brooker
1989,Patrick McAuslan
2015,Paul Almond
2008,Paul Almond
2009,Paul Almond
2004,Paul Edwards; Monder Ram; John Black
1982,Paul Gordon
1984,Paul Hirst
1988,Paul Hirst
1987,Paul Hirst; Phil Jones
2013,Paul Johnson
2007,Paul Johnson
1992,Paul O'Leary
2016,Paul Roberts
1988,Paul Robertshaw
1995,Paul Rock
1999,Paul Skidmore
1996,Paul Skidmore
1984,Pauline Todd
2011,Peer Zumbansen
1998,Penney Lewis
2000,Perri 6
1988,Pete Alcock
1984,Peter Alcock
1986,Peter Alldridge
1984,Peter Alldridge
2008,Peter Alldridge
1994,Peter Alldridge
1998,Peter Alldridge; Ann Mumford
2001,Peter Drexler
1987,Peter Fitzpatrick
1982,Peter Fitzpatrick
1995,Peter Fitzpatrick
2004,Peter Fitzpatrick
1987,Peter Fitzpatrick; Alan Hunt
2007,Peter Fitzpatrick; Richard Joyce
1987,Peter Gill
1987,Peter Goodrich
1985,Peter Goodrich
2004,Peter Goodrich
1984,Peter Goodrich
1993,Peter Goodrich
1989,Peter Goodrich
2004,Peter Goodrich
2009,Peter Goodrich
1986,Peter Hennessy
2001,Peter Robson
1995,Peter Scott
1983,Peter Squires
1989,Peter Vincent-Jones
1994,Peter Vincent-Jones
2002,Peter Vincent-Jones
1986,Peter Vincent-Jones
2011,Peter Vincent-Jones
1987,Peter Vincent-Jones
1986,Phil Fennell
1982,Phil Fennell
2005,Phil Fennell
1986,Phil Fennell
2013,PHIL FENNELL
1991,Phil Fennell
1990,Phil Fennell
2001,Phil Meyer
1999,Phil Scraton
1985,Phil Scraton
1985,Phil Scraton
1988,Phil Scraton; Joe Sim; Paula Skidmore
1986,Phil Scraton; Kathryn Chadwick
1992,Philip A. Thomas
1999,Philip Fennell
2012,PHILIP GIRARD
2000,Philip Lewis
1992,Philip Lewis
1987,Philip Lewis
2007,Philip M. Larkin
2014,Philip M. Larkin
2003,Philip Selznick
2004,Philip Selznick; Roger Cotterrell
1994,Philip W. H. Fennell
1984,Phillip Hopkins
2007,Pierre Guibentif
1998,Pierre Noreau; André-Jean Arnaud; Martha-Marie Kleinhans
1997,Piers Beirne
2010,Pinar Akman
2004,Piyel Haldar
2015,POUL F. KJAER
2010,Prabha Kotiswaran
2013,Prabha Kotiswaran
1990,Priscilla Alderson
1984,R. Dingwall; J. M. Eekelaar; T. Murray
1992,R. G. Lee
2011,Rabeea Assy
1989,Rabinder Singh
2016,Rachel E. Stern
2013,Rachel J. Cahill-O'Callaghan
1996,Ralph Sandland
2015,Rasmus H. Wandall
2005,Ratna Kapur
1984,Rebecca McDonnell; Albert Weale
1984,Renato Treves
2016,Renaud Colson; Stewart Field
2005,Reza Banakar
2000,Reza Banakar
2001,Reza Banakar
1985,Rhona Newman
1987,Rhona Newman
2013,RICHARD A. WILSON
1995,Richard Abel
2013,Richard Collier
2015,RICHARD COLLIER
1997,Richard Collier
2001,Richard Collier
2010,RICHARD COLLIER
1998,Richard Collier
1985,Richard de Friend; Gerry R. Rubin
2004,Richard Ericson
1999,Richard Johnstone
2003,Richard L. Abel
1994,Richard L. Abel
2004,Richard L. Abel
1982,Richard Lewis
1988,Richard Lewis
2012,Richard Lewis; Annette Morris
2002,Richard Lewis; Robert McNabb; Helen Robinson; Victoria Wass
1994,Richard Moon
1998,Richard Moorhead
2004,Richard Moorhead
2003,Richard Moorhead; Pascoe Pleasence
2015,Richard Moorhead; Victoria Hinchly
1997,Richard Mullender
2000,Richard Mullender
2013,RICHARD MULLENDER
2003,Richard Mullender
2016,RICHARD MULLENDER
2008,Richard Mullender
2005,Richard Mullender
